"Date","Symbol","Name","Pricing Date","Price Min","Price Max","IPO type","Has a SPAC converted to its target ticker?","Public offering price (POP)","Insider Lockup Days","Insider Lockup Date","Offering Value","Offering Shares","Outstanding Shares","Total ordinary shares out after the offering","Total market cap at the moment of the offer","For ADRs, the total amount of ordinary shares that the ADRs represent	","Shares Available from Selling Holders","Deal Status","F1/S1/other link information is pulled from","Last year's revenue (in USD)","The year the ""last year's revenue"" refers to","Last year's income (in USD)","The year the ""last year's income"" refers to","Company description, including description of target for SPAC"
"2020-12-23","HCAR","Healthcare Services Acquisition Corporation","2020-12-22","","","SPAC","false","10.000","180","2021-06-21","288000000","28800000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-12-23","GBS","GBS INC.","2020-12-22","16.000","18.000","Ordinary Shares","false","17.000","180","2021-06-21","21607000","1271000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-12-23","ARKO","ARKO Corp","2020-12-22","","","MandA","false","","0","--","","","","0","0","0","","Amendment","","0","-","0","-",""
"2020-12-22","XL","XL Fleet","--","","","MandA","false","","0","--","","","","0","0","0","","Amendment","","0","-","0","-",""
"2020-12-22","GOEV","Canoo","--","","","MandA","false","","0","--","","","","0","0","0","","Amendment","","0","-","0","-",""
"2020-12-21","ACKIT","Ackrell SPAC Partners I","2020-12-21","","","SPAC","false","10.000","180","2021-06-19","120000000","12000000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-12-18","GFX","Golden Falcon Acquisition Corp","2020-12-17","","","SPAC","false","10.000","180","2021-06-16","300000000","30000000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-12-18","SVOK","Seven Oaks Acquisition","2020-12-17","","","SPAC","false","10.000","180","2021-06-16","225000000","22500000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-12-18","MTAC","MedTech Acquisition Corporation","2020-12-17","","","SPAC","false","10.000","180","2021-06-16","220000000","22000000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-12-18","IIII","INSU Acquisition Corp. III","2020-12-17","","","SPAC","false","10.000","180","2021-06-16","218000000","21800000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-12-18","DUNE","Dune Acquisition","2020-12-17","","","SPAC","false","10.000","180","2021-06-16","150000000","15000000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-12-18","MASS","908 Devices Inc","2020-12-17","18.000","19.000","Ordinary Shares","false","20.000","180","2021-06-16","130000000","6500000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-12-17","SKLZ","Skillz Inc","2020-12-16","","","MandA","false","","0","--","","","","0","0","0","","Amendment","","0","-","0","-",""
"2020-12-17","MDWT","Midwest Holding","2020-12-17","70.000","74.000","Ordinary Shares","false","70.000","180","2021-06-15","70000000","1000000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-12-17","COOL","Corner Growth Acquisition","2020-12-16","","","SPAC","false","10.000","180","2021-06-15","350000000","35000000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-12-17","SCOA","ScION Tech Growth I","2020-12-16","","","SPAC","false","10.000","180","2021-06-15","500000000","50000000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-12-17","VIRI","Virios Therapeutics","2020-12-16","9.000","11.000","Ordinary Shares","false","10.000","180","2021-06-15","30000000","3000000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-12-16","BCAB","BioAtla, Inc","2020-12-15","15.000","17.000","Ordinary Shares","false","18.000","180","2021-06-14","189000000","10500000","9400000","0","0","0","","Amendment","","0","-","0","-",""
"2020-12-16","WISH","ContextLogic Inc","2020-12-15","22.000","24.000","Ordinary Shares","false","24.000","180","2021-06-14","1104000000","46000000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-12-16","CCV","Churchill Capital Corp V","2020-12-15","","","SPAC","false","10.000","180","2021-06-14","450000000","45000000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-12-16","UPST","Upstart Holdings, Inc.","2020-12-15","20.000","22.000","Ordinary Shares","false","20.000","180","2021-06-14","180000000","9000000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-12-16","SCPS","Scopus BioPharma","2020-12-15","","","Ordinary Shares","false","5.500","180","2021-06-14","2750000","500000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-12-15","MRAC","Marquee Raine Acquisition","2020-12-14","","","SPAC","true","10.000","180","2021-06-13","325000000","32500000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-12-15","BLUW","Blue Water Acquisition Corp.","2020-12-15","","","SPAC","true","10.000","180","2021-06-13","50000000","5000000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-12-15","WNW","Wunong Net Technology Co Ltd","2020-12-14","4.000","6.000","Ordinary Shares","false","5.000","180","2021-06-13","25000000","5000000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-12-15","KINZ","KINS Technology Group Inc","2020-12-15","","","SPAC","false","10.000","180","2021-06-13","240000000","24000000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-12-15","OCG","Oriental Culture Holding LTD","2020-12-15","","","Ordinary Shares","false","4.000","180","2021-06-13","20260000","5065000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-12-15","ATA","Americas Technology Acquisition Corp.","2020-12-14","","","SPAC","false","10.000","180","2021-06-13","100000000","10000000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-12-11","GHVI","Gores Holdings VI","2020-12-10","","","SPAC","true","10.000","180","2021-06-09","300000000","30000000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-12-11","ROCC","Roth CH Acquisition II","2020-12-10","","","SPAC","true","10.000","180","2021-06-09","100000000","10000000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-12-11","CBAH","CBRE Acquisition Holdings","2020-12-10","","","SPAC","false","10.000","180","2021-06-09","350000000","35000000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-12-11","TVAC","Thayer Ventures","2020-12-11","","","SPAC","false","10.000","180","2021-06-09","150000000","15000000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-12-11","EDTX","EdtechX Holdings","2020-12-10","","","SPAC","false","10.000","180","2021-06-09","100000000","10000000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-12-11","DWIN","Delwinds Insurance","2020-12-10","","","SPAC","false","10.000","180","2021-06-09","175000000","17500000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-12-11","MOTV","Motive Capital","2020-12-10","","","SPAC","false","10.000","180","2021-06-09","360000000","36000000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-12-11","SNRH","Senior Connect Acquisition Corp. I","2020-12-10","","","SPAC","false","10.000","180","2021-06-09","360000000","36000000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-12-11","GLAQ","Globis Acquisition","2020-12-10","","","SPAC","false","10.000","180","2021-06-09","100000000","10000000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-12-11","CERT","Certara, Inc.","2020-12-10","19.000","22.000","Ordinary Shares","false","23.000","180","2021-06-09","336490000","14630000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-12-11","NBTX","NANOBIOTIX S.A.","2020-12-11","","","Depository Receipt","false","13.500","90","2021-03-11","98550000","7300000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-12-11","VVOS","Vivos Therapeutics, Inc.","2020-12-10","5.000","7.000","Ordinary Shares","false","6.000","180","2021-06-09","21000000","3500000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-12-11","FDMT","4D Molecular Therapeutics, Inc","2020-12-11","22.000","23.000","Ordinary Shares","false","23.000","180","2021-06-09","193200000","8400000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-12-11","ABCL","AbCellera Biologics Inc","2020-12-10","17.000","18.000","Ordinary Shares","false","20.000","180","2021-05-22","483000000","24150000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-12-10","RMGB","RMG Acquisition","2020-12-09","","","SPAC","true","10.000","180","2021-06-08","300000000","30000000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-12-10","DM","Desktop Metal Inc","2020-12-10","","","MandA","false","","0","--","","","","0","0","0","","Amendment","","0","-","0","-",""
"2020-12-10","ABNB","Airbnb, Inc.","2020-12-09","56.000","60.000","Ordinary Shares","false","68.000","120","2021-04-09","3490000108","51323531","","0","0","0","","Amendment","","0","-","0","-",""
"2020-12-10","PCPC","Periphas Capital","2020-12-09","","","SPAC","false","25.000","180","2021-06-08","360000000","14400000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-12-10","CTAQ","Carney Technology","2020-12-09","","","SPAC","false","10.000","180","2021-06-08","350000000","35000000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-12-10","HYFM","Hydrofarm Holdings Group, Inc.","2020-12-09","17.000","18.000","Ordinary Shares","false","20.000","180","2021-06-08","173333340","8666667","","0","0","0","","Amendment","","0","-","0","-",""
"2020-12-10","HTOO","Fusion Fuel Green","2020-12-10","","","MandA","false","","0","--","","","","0","0","0","","Amendment","","0","-","0","-",""
"2020-12-09","NEBC","Nebula Caravel","2020-12-08","","","SPAC","true","10.000","180","2021-06-07","250000000","25000000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-12-09","AI","C3.ai, Inc.","2020-12-08","36.000","38.000","Ordinary Shares","false","42.000","180","2021-06-07","651000000","15500000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-12-09","DASH","DoorDash, Inc.","2020-12-08","90.000","95.000","Ordinary Shares","false","102.000","180","2021-06-07","3366000000","33000000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-12-09","FLAC","Frazier Lifesciences","2020-12-09","","","SPAC","false","10.000","180","2021-06-07","120000000","12000000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-12-09","HMCO","HumanCo Acquisition","2020-12-08","","","SPAC","false","10.000","180","2021-06-07","250000000","25000000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-12-09","ALTU","Altitude Acquisition","2020-12-08","","","SPAC","false","10.000","180","2021-06-07","261000000","26100000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-12-09","PUBM","PUBMATIC, INC.","2020-12-08","16.000","18.000","Ordinary Shares","false","20.000","180","2021-06-07","118000000","5900000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-12-08","MUDS","Mudrick Capital","2020-12-07","","","SPAC","true","10.000","180","2021-06-06","275000000","27500000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-12-08","RAAC","Revolution Acceleration","2020-12-07","","","SPAC","true","10.000","180","2021-06-06","250000000","25000000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-12-08","DDMX","DD3 Acquisition","2020-12-07","","","SPAC","false","10.000","180","2021-06-06","110000000","11000000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-12-08","CND","Concord Acquisition","2020-12-07","","","SPAC","false","10.000","180","2021-06-06","240000000","24000000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-12-04","YQ","17 Education & Technology Group Inc.","2020-12-04","9.500","11.500","Depository Receipt","false","10.500","180","2021-06-02","287700000","27400000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-12-04","ONDS","Ondas Holdings","2020-12-04","","","Ordinary Shares","false","6.000","180","2021-06-02","30000000","5000000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-12-04","FTCV","FinTech Acquisition Corp","2020-12-03","","","SPAC","false","10.000","180","2021-06-02","218000000","21800000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-12-04","PTIC","PropTech Investment","2020-12-03","","","SPAC","false","10.000","180","2021-06-02","200000000","20000000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-12-04","SGTX","Sigilon Therapeutics, Inc.","2020-12-03","17.000","19.000","Ordinary Shares","false","18.000","180","2021-06-02","126000000","7000000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-12-04","SEER","SEER, INC.","2020-12-03","16.000","18.000","Ordinary Shares","false","19.000","180","2021-06-02","175009000","9211000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-12-04","SBTX","Silverback Therapeutics, Inc.","2020-12-04","21.000","20.000","Ordinary Shares","false","","180","2021-06-02","241500000","11500000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-12-03","FPAC","Far Peak Acquisition","2020-12-02","","","SPAC","true","10.000","180","2021-06-01","550000000","55000000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-12-03","HTPA","Highland Transcend","2020-12-02","","","SPAC","false","10.000","180","2021-06-01","275000000","27500000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-12-03","SPFR","Jaws Spitfire Acquisition","2020-12-02","","","SPAC","false","10.000","180","2021-06-01","300000000","30000000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-12-03","LOKB","Live Oak Acquisition","2020-12-02","","","SPAC","false","10.000","180","2021-06-01","220000000","22000000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-12-03","KNTE","KINNATE BIOPHARMA INC.","2020-12-02","18.000","19.000","Ordinary Shares","false","20.000","180","2021-06-01","240000000","12000000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-12-03","DCBO","Docebo","2020-12-02","","","Ordinary Shares","false","48.000","90","2021-03-03","144000000","3000000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-12-03","LAZR","Luminar Technologies, Inc.","2020-12-03","","","MandA","false","","0","--","","","","0","0","0","","Amendment","","0","-","0","-",""
"2020-12-02","RSVA","Rodgers Silicon Valley","2020-12-02","","","SPAC","true","10.000","180","2021-05-31","200000000","20000000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-12-02","CAP","Capitol Investment","2020-12-02","","","SPAC","true","10.000","180","2021-05-31","300000000","30000000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-12-02","TACA","Trepont Acquisition","2020-12-01","","","SPAC","false","10.000","180","2021-05-31","200000000","20000000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-12-01","POWW","AMMO","2020-12-01","","","Ordinary Shares","false","2.100","180","2021-05-30","17984400","8564000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-11-30","SGAM","Seaport Global","2020-11-30","","","SPAC","true","10.000","180","2021-05-29","125000000","12500000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-11-27","QS","QuantumScape","2020-11-27","","","MandA","false","","0","--","","","","0","0","0","","Amendment","","0","-","0","-",""
"2020-11-25","FRX","Forest Road Acquisition","2020-11-24","","","SPAC","true","10.000","180","2021-05-24","261000000","26100000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-11-25","SPRQ","Spartan Acquisition","2020-11-24","","","SPAC","true","10.000","180","2021-05-24","300000000","30000000","","0","0","0","","Amendment","","0","-","0","-","Spartan is a special purpose acquisition entity focused on the energy value chain in North America and was formed for the purpose of effecting a merger, capital stock exchange, asset acquisition, stock purchase, reorganization or similar business combination with one or more businesses."
"2020-11-25","LIXT","Lixte Biotech Holdings","2020-11-25","5.750","6.750","Ordinary Shares","false","4.750","180","2021-05-24","5700000","1200000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-11-24","VCVC","10X Capital Venture","2020-11-24","","","SPAC","true","10.000","180","2021-05-23","175000000","17500000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-11-24","GNPK","Genesis Park Acquisition","2020-11-23","","","SPAC","true","10.000","180","2021-05-23","150000000","15000000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-11-24","OZON","Ozon Holdings PLC","2020-11-24","22.500","27.500","Depository Receipt","false","30.000","180","--","990000000","33000000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-11-24","TINV","Tiga Acquisition","2020-11-23","","","SPAC","false","10.000","180","2021-05-23","240000000","24000000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-11-24","SV","Spring Valley Acquisition","2020-11-23","","","SPAC","false","10.000","180","2021-05-23","200000000","20000000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-11-24","VMAR","VISION MARINE TECHNOLOGIES INC.","2020-11-23","8.000","10.000","Ordinary Shares","false","10.000","180","2021-05-23","24000000","2400000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-11-24","HFEN","HF ENTERPRISES INC","2020-11-23","6.000","7.000","Ordinary Shares","false","7.000","180","2021-05-23","15120000","2160000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-11-23","BREZ","Breeze Holdings","2020-11-23","","","SPAC","false","10.000","90","2021-02-21","100000000","10000000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-11-20","OCA","Omnichannel Acquisition","2020-11-19","","","SPAC","false","10.000","180","2021-05-19","200000000","20000000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-11-20","LSAQ","LIFESCI ACQUISITION II CORP.","2020-11-20","","","SPAC","false","10.000","180","2021-05-19","75000000","7500000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-11-20","KWAC","Kingswood Acquisition","2020-11-19","","","SPAC","false","10.000","180","2021-05-19","100000000","10000000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-11-20","CAS","Cascade Acquisition","2020-11-19","","","SPAC","false","10.000","180","2021-05-19","200000000","20000000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-11-20","ARBG","Aequi Acquisition","2020-11-19","","","SPAC","false","10.000","180","2021-05-19","200000000","20000000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-11-20","SHC","Sotera Health Company","2020-11-19","20.000","23.000","Ordinary Shares","false","23.000","180","2021-05-19","1071800000","46600000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-11-20","MRVI","Maravai LifeSciences Holdings, Inc.","2020-11-19","24.000","27.000","Ordinary Shares","false","27.000","180","2021-05-19","1620000000","60000000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-11-19","GRNV","GreenVision Acquisition","--","","","SPAC","true","10.000","180","2021-05-18","50000000","5000000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-11-19","RTPZ","Reinvent Technology","2020-11-18","","","SPAC","true","10.000","180","2021-05-18","200000000","20000000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-11-19","CHFW","Consonance-HFW","2020-11-18","","","SPAC","true","10.000","180","2021-05-18","80000000","8000000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-11-19","YSG","Yatsen Holding Limited","2020-11-19","8.500","10.500","Depository Receipt","false","10.500","180","2021-05-18","616875000","58750000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-11-19","JYAC","Jiya Acquisition Corp.","2020-11-18","","","SPAC","false","10.000","180","2021-05-18","100000000","10000000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-11-19","LNFA","L&F Acquisition","2020-11-18","","","SPAC","false","10.000","180","2021-05-18","150000000","15000000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-11-19","IIAC","Investindustrial","2020-11-19","","","SPAC","false","10.000","180","2021-05-18","350000000","35000000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-11-19","TLS","TELOS CORPORATION","2020-11-19","16.000","18.000","Ordinary Shares","false","17.000","180","2021-05-18","254473000","14969000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-11-19","NGMS","NEOGAMES S.A.","2020-11-18","14.000","16.000","Ordinary Shares","false","17.000","180","2021-05-18","81727874","4807522","","0","0","0","","Amendment","","0","-","0","-",""
"2020-11-19","OLMA","Olema Pharmaceuticals, Inc.","2020-11-18","16.000","18.000","Ordinary Shares","false","19.000","180","2021-05-18","209000000","11000000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-11-18","PHIC","Population Health Invt","2020-11-18","","","SPAC","false","10.000","180","2021-05-17","150000000","15000000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-11-18","MP","MP Materials Corp.","2020-11-17","","","MandA","false","","0","--","","","","0","0","0","","Amendment","","0","-","0","-",""
"2020-11-17","DGNS","DRAGONEER GROWTH OPPORTUNITIES CORP. II","2020-11-16","","","SPAC","false","10.000","180","2021-05-16","240000000","24000000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-11-17","ZNTE","Zanite Acquisition","2020-11-16","","","SPAC","false","10.000","180","2021-05-16","200000000","20000000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-11-17","PIPP","Pine Island Acquisition","2020-11-16","","","SPAC","false","10.000","180","2021-05-16","200000000","20000000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-11-17","OTRA","OTR Acquisition","2020-11-17","","","SPAC","false","10.000","180","2021-05-16","100000000","10000000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-11-17","EOSE","Eos Energy Enterprises","2020-11-17","","","MandA","false","","0","--","","","","0","0","0","","Amendment","","0","-","0","-",""
"2020-11-13","CFAC","CF Finance Acquisition","2020-11-12","","","SPAC","true","10.000","180","2021-05-12","200000000","20000000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-11-13","INVO","INVO Bioscience","2020-11-12","","","Ordinary Shares","false","3.200","180","2021-05-12","11600000","3625000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-11-13","HAAC","Health Assurance","2020-11-12","","","SPAC","false","10.000","180","2021-05-12","500000000","50000000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-11-13","DMYI","dMY Tech Group","2020-11-12","","","SPAC","false","10.000","180","2021-05-12","275000000","27500000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-11-13","BWAC","Better World Acquisition","2020-11-12","","","SPAC","false","10.000","180","2021-05-12","110000000","11000000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-11-12","INM","InMed Pharmaceuticals Inc.","2020-11-12","","","Ordinary Shares","false","4.500","90","2021-02-10","8010000","1780000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-11-11","STIC","Northern Star Acquisition","2020-11-10","","","SPAC","true","10.000","180","2021-05-10","250000000","25000000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-11-11","NOAC","Natural Order Acquisition","2020-11-10","","","SPAC","false","10.000","180","2021-05-10","200000000","20000000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-11-11","TRIT","Triterras, Inc","2020-11-10","","","MandA","false","","0","--","","","","0","0","0","","Amendment","","0","-","0","-",""
"2020-11-10","TSIA","TS Innovation","2020-11-09","","","SPAC","true","10.000","180","2021-05-09","300000000","30000000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-11-10","ADOC","Edoc Acquisition","2020-11-09","","","SPAC","false","10.000","180","2021-05-09","90000000","9000000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-11-09","ATNF","KBL Merger Corp. IV","2020-11-09","","","MandA","false","","0","--","","","","0","0","0","","Amendment","","0","-","0","-",""
"2020-11-06","DBDR","Roman DBDR Tech","2020-11-06","","","SPAC","false","10.000","180","2021-05-05","220000000","22000000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-11-02","TLMD","SOC Telemed","--","","","MandA","false","","0","--","","","","0","0","0","","Amendment","","0","-","0","-",""
"2020-10-30","NBA","New Beginnings","2020-10-29","10","10.000","SPAC","true","","180","2021-04-28","100000000","10000000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-10-30","LU","Lufax Holding Ltd","2020-10-30","11.500","13.500","Ordinary Shares","false","13.500","180","2021-04-28","2362500000","175000000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-10-30","SQZ","SQZ BIOTECHNOLOGIES COMPANY","2020-10-29","16.000","18.000","Ordinary Shares","false","16.000","180","2021-04-28","70588240","4411765","","0","0","0","","Amendment","","0","-","0","-",""
"2020-10-30","CONX","CONX","2020-10-29","","","SPAC","false","10.000","180","2021-04-28","750000000","75000000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-10-30","BHSE","Bull Horn Holdings","2020-10-29","","","SPAC","false","10.000","180","2021-04-28","75000000","7500000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-10-30","JUPW","Jupiter Wellness, Inc.","2020-10-30","","","","false","7.500","180","2021-04-28","6999997","933333","","0","0","0","","Amendment","","0","-","0","-",""
"2020-10-30","AVIR","ATEA PHARMACEUTICALS, INC.","2020-10-29","22.000","24.000","","false","24.000","180","2021-04-28","300000000","12500000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-10-30","FSR","Fisker Inc.","--","","","","false","","0","--","","","","0","0","0","","Initial","","0","-","0","-",""
"2020-10-29","GLTO","GALECTO, INC.","2020-10-28","14.000","16.000","Ordinary Shares","false","15.000","180","2021-04-27","85005000","5667000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-10-29","DSAC","Duddell Street","2020-10-28","","","SPAC","false","10.000","180","2021-04-27","175000000","17500000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-10-29","LESL","LESLIE’S, INC.","2020-10-28","14.000","16.000","Ordinary Shares","false","17.000","180","2021-04-27","510000000","30000000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-10-29","ALGM","Allegro MicroSystems, Inc.","2020-10-29","12.000","14.000","","false","14.000","180","2021-04-27","350000000","25000000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-10-28","AJAX","Ajax","2020-10-27","","","SPAC","true","10.000","180","2021-04-26","750000000","75000000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-10-28","ROOT","Root, Inc","2020-10-27","22.000","25.000","Ordinary Shares","false","27.000","180","2021-04-26","724432815","26830845","","0","0","0","","Amendment","","0","-","0","-",""
